,Location,Distance from Job Hub (km),Compound Name,Year Unit Ready,House Area (sqm),Number of Bedrooms,Number of Bathrooms,Swimming Pool,Gym,Modern Kitchen,Energy Efficient,Garage,Proximity to Schools,Public Transportation,Price
975,Hadayek Al Ahram,10,,2027,257,4,2,0,0,0,0,0,0,0,2097826
976,Zahraa Al Maadi,6,,2023,273,4,1,0,0,0,0,0,0,0,3314920
977,Sheikh Zayed,4,Compound_92,2025,229,5,2,0,0,0,0,0,0,0,8446953
978,5th Settlement,3,Compound_81,2029,187,6,3,1,1,0,1,1,0,0,8463542
979,Sheikh Zayed,1,Compound_4,2025,125,6,2,0,0,1,0,0,0,0,9689979
980,Nasr City,7,,2023,175,3,2,0,0,0,0,0,0,0,2258586
981,Hadayek Al Obba,11,,2027,87,2,1,0,0,0,0,0,0,0,871740
982,5th Settlement,5,Compound_5,2025,197,5,4,0,0,0,0,0,0,0,11436639
983,Hadayek Al Obba,18,,2029,169,2,1,0,0,0,0,0,0,0,966818
984,5th Settlement,2,Compound_5,2029,307,6,4,0,0,0,0,0,1,0,7087281
985,5th Settlement,5,Compound_54,2022,195,3,2,0,0,0,0,0,0,0,9889781
986,Sheikh Zayed,5,Compound_96,2027,338,5,3,1,0,0,0,0,0,0,13216579
987,Hadayek Al Ahram,9,,2026,260,3,1,0,0,0,0,0,0,0,1615336
988,5th Settlement,4,Compound_8,2027,133,4,2,0,0,0,1,1,1,0,5233212
989,Ain Shams,14,,2024,64,2,1,0,0,0,0,0,0,0,1345230
990,Ain Shams,11,,2023,72,3,1,0,0,0,0,0,0,0,1413602
991,Zahraa Al Maadi,10,,2029,96,3,2,0,0,0,0,0,0,0,2940179
992,Zahraa Al Maadi,6,,2028,246,3,2,0,0,0,0,0,0,0,3428805
993,Ain Shams,18,,2029,90,2,1,0,0,0,0,0,0,0,800553
994,Hadayek Al Obba,18,,2026,65,1,1,0,0,0,0,0,0,0,1024686
995,Nasr City,10,,2023,84,4,1,0,0,0,0,0,0,0,1756850
996,5th Settlement,1,Compound_20,2023,369,6,3,0,1,0,0,1,1,1,10699881
997,New Capitol,1,Compound_57,2028,268,5,2,1,1,1,0,1,1,0,8210099
998,Hadayek Al Obba,16,,2024,190,2,1,0,0,0,0,0,0,0,1444377
999,Nasr City,6,,2026,204,2,1,0,0,0,0,0,0,0,2798389
1000,Hadayek Al Ahram,10,,2028,255,3,1,0,0,0,0,0,0,0,2084397
1001,Ain Shams,20,,2026,60,2,1,0,0,0,0,0,0,0,1008216
1002,Hadayek Al Obba,18,,2027,197,1,1,0,0,0,0,0,0,0,955971
1003,New Capitol,5,Compound_97,2027,315,5,2,1,1,1,0,0,0,1,7461327
1004,Zahraa Al Maadi,7,,2023,225,2,2,0,0,0,0,0,0,0,2445942
1005,Hadayek Al Obba,20,,2024,193,1,1,0,0,0,0,0,0,0,1158380
1006,Hadayek Al Ahram,9,,2028,191,4,1,0,0,0,0,0,0,0,3411526
1007,5th Settlement,4,Compound_36,2026,172,3,4,1,0,0,1,1,0,0,7823448
1008,5th Settlement,5,Compound_8,2023,341,4,2,1,0,1,0,0,0,1,9796659
1009,5th Settlement,5,Compound_51,2023,180,5,4,0,0,0,1,0,1,1,11410245
1010,Zahraa Al Maadi,8,,2029,232,3,1,0,0,0,0,0,0,0,2022134
1011,New Capitol,5,Compound_42,2029,192,6,2,0,0,0,0,1,0,0,8376971
1012,Hadayek Al Obba,15,,2023,179,1,1,0,0,0,0,0,0,0,1064202
1013,Nasr City,9,,2024,127,3,1,0,0,0,0,0,0,0,2959122
1014,Hadayek Al Ahram,6,,2029,97,2,1,0,0,0,0,0,0,0,2565953
1015,New Capitol,1,Compound_6,2028,289,4,3,0,1,1,0,0,0,0,8658606
1016,Hadayek Al Ahram,6,,2025,207,2,2,0,0,0,0,0,0,0,2481008
1017,5th Settlement,5,Compound_29,2022,179,6,2,0,1,0,0,0,1,1,11995645
1018,Nasr City,9,,2028,247,2,2,0,0,0,0,0,0,0,1800069
1019,5th Settlement,2,Compound_47,2026,311,4,3,0,0,0,0,0,1,0,9375807
1020,Sheikh Zayed,5,Compound_88,2022,306,5,4,1,0,0,0,0,0,0,10372846
1021,New Capitol,2,Compound_89,2028,339,3,3,1,1,1,0,0,0,0,12136276
1022,5th Settlement,5,Compound_31,2028,260,5,3,0,0,1,0,1,0,1,10810992
1023,New Capitol,3,Compound_82,2025,145,6,2,0,0,1,1,0,0,0,11844279
1024,Sheikh Zayed,1,Compound_56,2028,400,3,4,0,1,0,0,0,0,0,10105308
1025,Zahraa Al Maadi,8,,2026,292,2,1,0,0,0,0,0,0,0,3706887
1026,Sheikh Zayed,2,Compound_47,2028,343,3,2,0,0,0,0,0,0,1,11352222
1027,Sheikh Zayed,5,Compound_52,2025,281,6,4,0,0,1,0,0,1,1,13274268
1028,5th Settlement,3,Compound_86,2025,208,3,4,0,0,0,0,0,0,0,14004505
1029,New Capitol,2,Compound_76,2029,388,4,3,1,0,0,0,0,0,0,5274939
1030,Nasr City,9,,2022,248,2,1,0,0,0,0,0,0,0,3659740
1031,Nasr City,9,,2023,294,4,1,0,0,0,0,0,0,0,3225984
1032,Sheikh Zayed,4,Compound_52,2022,389,6,2,0,0,0,0,0,0,0,10824759
1033,Zahraa Al Maadi,6,,2028,223,2,2,0,0,0,0,0,0,0,2629664
1034,Hadayek Al Ahram,7,,2027,209,3,2,0,0,0,0,0,0,0,3468538
1035,Hadayek Al Ahram,8,,2025,239,2,2,0,0,0,0,0,0,0,2394615
1036,Hadayek Al Obba,11,,2028,135,3,1,0,0,0,0,0,0,0,1077388
1037,Zahraa Al Maadi,6,,2027,101,3,1,0,0,0,0,0,0,0,2407307
1038,Hadayek Al Obba,20,,2024,132,3,1,0,0,0,0,0,0,0,1256051
1039,New Capitol,5,Compound_83,2029,184,5,3,0,0,0,0,0,0,0,4222875
1040,Hadayek Al Ahram,6,,2025,242,2,2,0,0,0,0,0,0,0,2203839
1041,Zahraa Al Maadi,6,,2029,186,3,2,0,0,0,0,0,0,0,2805164
1042,Zahraa Al Maadi,9,,2024,249,4,2,0,0,0,0,0,0,0,2235231
1043,Sheikh Zayed,4,Compound_59,2029,213,3,4,1,0,0,1,0,0,1,4180290
1044,Hadayek Al Obba,16,,2023,198,3,1,0,0,0,0,0,0,0,1459781
1045,5th Settlement,2,Compound_56,2026,356,4,2,1,0,0,0,0,0,0,7501006
1046,Sheikh Zayed,4,Compound_98,2029,155,5,2,0,0,0,1,0,0,0,5284951
1047,Hadayek Al Ahram,7,,2023,215,3,1,0,0,0,0,0,0,0,2376153
1048,Sheikh Zayed,3,Compound_40,2022,275,3,4,0,0,0,0,1,1,1,6084972
1049,Ain Shams,11,,2026,50,2,1,0,0,0,0,0,0,0,1131941
1050,Nasr City,10,,2022,273,2,1,0,0,0,0,0,0,0,2922216
1051,Hadayek Al Ahram,9,,2025,196,3,1,0,0,0,0,0,0,0,2519876
1052,New Capitol,5,Compound_35,2028,399,3,2,0,0,0,1,0,0,0,4578261
1053,Ain Shams,16,,2022,152,3,1,0,0,0,0,0,0,0,1250724
1054,Hadayek Al Obba,17,,2028,58,1,1,0,0,0,0,0,0,0,945396
1055,5th Settlement,2,Compound_41,2029,341,6,4,0,0,0,0,0,0,0,8097418
1056,Sheikh Zayed,1,Compound_33,2029,326,5,4,1,0,1,0,0,0,0,11631510
1057,Hadayek Al Obba,15,,2028,78,3,1,0,0,0,0,0,0,0,1018118
1058,Nasr City,6,,2029,249,2,1,0,0,0,0,0,0,0,1276929
1059,5th Settlement,2,Compound_67,2028,369,6,3,1,1,1,0,1,0,1,6525006
1060,Zahraa Al Maadi,8,,2025,104,4,2,0,0,0,0,0,0,0,2545788
1061,Sheikh Zayed,3,Compound_34,2023,238,5,4,0,1,1,1,0,0,1,14170011
1062,5th Settlement,3,Compound_56,2025,121,6,3,1,1,0,0,1,0,0,6671399
1063,Zahraa Al Maadi,7,,2029,186,3,2,0,0,0,0,0,0,0,2591576
1064,Nasr City,10,,2026,89,3,2,0,0,0,0,0,0,0,1366249
1065,Ain Shams,18,,2028,174,2,1,0,0,0,0,0,0,0,1103105
1066,Hadayek Al Ahram,10,,2028,217,2,1,0,0,0,0,0,0,0,3428450
1067,5th Settlement,2,Compound_72,2024,139,4,2,0,0,1,1,1,1,1,9808044
1068,Sheikh Zayed,2,Compound_64,2025,132,5,2,0,0,0,0,0,1,1,8925334
1069,Sheikh Zayed,3,Compound_100,2022,215,5,2,1,1,0,1,1,1,0,12703559
1070,Hadayek Al Ahram,10,,2029,168,4,1,0,0,0,0,0,0,0,1960521
1071,Sheikh Zayed,3,Compound_44,2023,135,5,2,1,0,0,1,0,0,1,8538307
1072,New Capitol,3,Compound_33,2026,293,6,4,0,1,1,0,0,0,0,13017928
1073,Ain Shams,16,,2028,74,3,1,0,0,0,0,0,0,0,1107559
1074,Hadayek Al Ahram,9,,2026,97,3,2,0,0,0,0,0,0,0,2308095
1075,Sheikh Zayed,1,Compound_43,2028,396,4,3,0,0,0,1,0,0,0,9283191
1076,Hadayek Al Obba,12,,2027,196,2,1,0,0,0,0,0,0,0,1008853
1077,Hadayek Al Ahram,10,,2028,269,3,1,0,0,0,0,0,0,0,2057699
1078,Hadayek Al Obba,11,,2029,98,1,1,0,0,0,0,0,0,0,793549
1079,New Capitol,5,Compound_43,2028,265,4,2,1,0,0,0,1,1,0,8787894
1080,Sheikh Zayed,4,Compound_9,2029,135,4,3,1,1,1,0,1,1,0,7984065
1081,Ain Shams,11,,2028,160,3,1,0,0,0,0,0,0,0,951692
1082,Hadayek Al Ahram,6,,2026,274,4,1,0,0,0,0,0,0,0,3152846
1083,Ain Shams,20,,2022,146,3,1,0,0,0,0,0,0,0,1135319
1084,Sheikh Zayed,5,Compound_69,2022,150,6,3,1,0,1,1,0,0,0,8427993
1085,Nasr City,8,,2025,288,2,2,0,0,0,0,0,0,0,3126389
1086,Ain Shams,12,,2025,121,1,1,0,0,0,0,0,0,0,1293240
1087,Hadayek Al Ahram,6,,2027,133,4,2,0,0,0,0,0,0,0,3312046
1088,Sheikh Zayed,1,Compound_54,2024,127,6,2,0,0,0,0,0,0,0,10039404
1089,Hadayek Al Obba,16,,2025,200,1,1,0,0,0,0,0,0,0,1396882
1090,Sheikh Zayed,5,Compound_82,2029,359,3,2,0,0,0,0,0,0,0,10760934
1091,Sheikh Zayed,4,Compound_53,2024,286,4,4,1,1,1,0,0,1,0,6952568
1092,Hadayek Al Obba,19,,2024,139,3,1,0,0,0,0,0,0,0,1149172
1093,5th Settlement,1,Compound_95,2028,320,3,3,1,0,0,0,0,0,0,7299824
1094,Hadayek Al Ahram,8,,2024,250,4,1,0,0,0,0,0,0,0,2299746
1095,Sheikh Zayed,3,Compound_62,2027,394,4,3,0,0,0,1,0,0,1,6129944
1096,Zahraa Al Maadi,8,,2025,96,2,1,0,0,0,0,0,0,0,1637326
1097,Hadayek Al Obba,15,,2029,79,2,1,0,0,0,0,0,0,0,899602
1098,5th Settlement,4,Compound_94,2028,190,6,4,0,0,0,1,0,0,0,7069228
1099,New Capitol,5,Compound_45,2028,346,4,4,0,0,1,1,0,1,0,5853768
1100,New Capitol,5,Compound_52,2027,384,3,4,0,0,0,0,1,0,0,7691831
1101,Hadayek Al Obba,11,,2024,66,3,1,0,0,0,0,0,0,0,1146927
1102,Ain Shams,17,,2023,164,2,1,0,0,0,0,0,0,0,1381669
1103,Hadayek Al Ahram,10,,2029,167,4,1,0,0,0,0,0,0,0,1137589
1104,5th Settlement,3,Compound_49,2029,204,3,3,1,0,0,0,0,0,0,8071194
1105,Sheikh Zayed,4,Compound_41,2024,112,5,2,0,0,0,0,0,0,0,7151272
1106,Zahraa Al Maadi,8,,2022,201,3,1,0,0,0,0,0,0,0,2733518
1107,Hadayek Al Obba,11,,2025,96,1,1,0,0,0,0,0,0,0,1112398
1108,Ain Shams,20,,2028,139,1,1,0,0,0,0,0,0,0,877419
1109,Sheikh Zayed,5,Compound_37,2028,111,6,2,1,0,0,1,0,0,1,10616164
1110,Sheikh Zayed,2,Compound_5,2022,344,3,3,0,0,0,0,0,0,0,12970578
1111,5th Settlement,4,Compound_79,2024,123,6,4,0,0,1,0,0,1,0,11428807
1112,5th Settlement,1,Compound_27,2022,385,3,3,0,1,1,0,1,0,1,13467021
1113,Sheikh Zayed,5,Compound_48,2026,317,6,2,0,1,0,0,0,0,0,6168974
1114,5th Settlement,5,Compound_86,2022,185,6,4,0,1,0,0,0,0,0,13593321
1115,Zahraa Al Maadi,9,,2025,212,4,2,0,0,0,0,0,0,0,3723064
1116,Zahraa Al Maadi,10,,2025,210,4,2,0,0,0,0,0,0,0,2282008
1117,Hadayek Al Ahram,8,,2023,281,3,2,0,0,0,0,0,0,0,3912267
1118,Nasr City,9,,2025,172,4,1,0,0,0,0,0,0,0,2082399
1119,Sheikh Zayed,5,Compound_17,2023,364,6,2,0,1,1,0,0,1,0,12953720
1120,5th Settlement,3,Compound_22,2029,151,3,4,0,0,0,0,1,0,1,7578122
1121,Hadayek Al Obba,12,,2026,181,3,1,0,0,0,0,0,0,0,1272590
1122,Zahraa Al Maadi,7,,2028,148,3,2,0,0,0,0,0,0,0,3148951
1123,Nasr City,7,,2025,279,4,1,0,0,0,0,0,0,0,3905254
1124,Hadayek Al Ahram,9,,2026,182,2,1,0,0,0,0,0,0,0,2443867
1125,5th Settlement,4,Compound_55,2027,145,3,2,0,0,1,0,1,0,1,6835254
1126,Hadayek Al Ahram,9,,2026,248,3,1,0,0,0,0,0,0,0,2373350
1127,Ain Shams,16,,2025,140,1,1,0,0,0,0,0,0,0,1197874
1128,Nasr City,8,,2024,254,2,2,0,0,0,0,0,0,0,3307111
1129,Sheikh Zayed,1,Compound_3,2023,292,5,4,1,0,0,1,0,1,1,6596260
1130,Zahraa Al Maadi,6,,2023,263,2,2,0,0,0,0,0,0,0,3140435
1131,5th Settlement,5,Compound_31,2028,169,4,2,1,0,0,1,0,0,1,6086400
1132,Sheikh Zayed,4,Compound_54,2026,243,6,4,1,1,0,0,1,0,1,13302662
1133,Zahraa Al Maadi,9,,2027,188,4,2,0,0,0,0,0,0,0,3241066
1134,Hadayek Al Ahram,6,,2022,82,2,1,0,0,0,0,0,0,0,3200702
1135,Hadayek Al Ahram,6,,2023,116,4,2,0,0,0,0,0,0,0,3731664
1136,Ain Shams,14,,2026,85,2,1,0,0,0,0,0,0,0,1251894
1137,New Capitol,4,Compound_8,2027,191,5,2,1,0,1,0,0,0,0,9568989
1138,New Capitol,3,Compound_65,2028,288,5,2,0,0,0,0,1,0,1,11390554
1139,Nasr City,8,,2024,154,3,1,0,0,0,0,0,0,0,1636702
1140,Hadayek Al Ahram,7,,2026,141,2,1,0,0,0,0,0,0,0,2592812
1141,Nasr City,8,,2028,185,3,2,0,0,0,0,0,0,0,3450091
1142,Nasr City,10,,2029,173,4,1,0,0,0,0,0,0,0,3043236
1143,5th Settlement,4,Compound_84,2024,180,3,4,1,1,0,1,1,0,0,7795245
1144,Sheikh Zayed,4,Compound_10,2023,395,4,2,0,1,0,0,0,0,0,9641026
1145,Hadayek Al Obba,16,,2026,52,1,1,0,0,0,0,0,0,0,1054254
1146,Ain Shams,15,,2027,132,1,1,0,0,0,0,0,0,0,1045714
1147,Ain Shams,13,,2029,116,2,1,0,0,0,0,0,0,0,1013138
1148,New Capitol,2,Compound_68,2025,110,3,2,0,0,1,1,1,0,0,12527945
1149,Zahraa Al Maadi,6,,2024,213,4,1,0,0,0,0,0,0,0,1741470
1150,Zahraa Al Maadi,8,,2029,214,2,1,0,0,0,0,0,0,0,3087135
1151,5th Settlement,3,Compound_44,2024,218,5,3,0,1,0,0,0,0,1,12337106
1152,Nasr City,10,,2027,189,4,1,0,0,0,0,0,0,0,2789514
1153,Hadayek Al Ahram,9,,2025,86,4,2,0,0,0,0,0,0,0,3285115
1154,5th Settlement,2,Compound_64,2027,385,4,2,0,0,0,1,1,0,1,7001640
1155,New Capitol,2,Compound_4,2027,120,6,2,0,0,0,1,0,1,1,5911896
1156,Sheikh Zayed,3,Compound_76,2023,340,4,2,0,0,0,1,1,0,1,12704936
1157,Zahraa Al Maadi,9,,2025,205,4,2,0,0,0,0,0,0,0,2710430
1158,Ain Shams,15,,2022,147,3,1,0,0,0,0,0,0,0,1258059
1159,Nasr City,6,,2025,299,2,1,0,0,0,0,0,0,0,3128123
1160,Ain Shams,13,,2027,52,1,1,0,0,0,0,0,0,0,815082
1161,Hadayek Al Obba,11,,2023,164,2,1,0,0,0,0,0,0,0,1108003
1162,Nasr City,6,,2027,251,3,1,0,0,0,0,0,0,0,3635774
1163,Hadayek Al Ahram,8,,2022,293,2,2,0,0,0,0,0,0,0,2010004
1164,5th Settlement,2,Compound_54,2027,116,4,2,0,0,1,1,0,1,1,10939455
1165,Nasr City,8,,2027,156,4,2,0,0,0,0,0,0,0,1209823
1166,Hadayek Al Obba,15,,2028,96,2,1,0,0,0,0,0,0,0,874334
1167,Hadayek Al Ahram,8,,2022,184,4,1,0,0,0,0,0,0,0,4339786
1168,New Capitol,3,Compound_48,2025,134,4,3,1,1,1,0,0,0,1,7012743
1169,New Capitol,4,Compound_67,2026,299,5,3,0,0,0,1,1,0,0,6212997
1170,Hadayek Al Ahram,7,,2023,219,2,1,0,0,0,0,0,0,0,2577742
1171,Hadayek Al Obba,14,,2027,92,2,1,0,0,0,0,0,0,0,930042
1172,Nasr City,8,,2027,293,2,2,0,0,0,0,0,0,0,3702600
1173,Nasr City,6,,2029,240,4,2,0,0,0,0,0,0,0,2941041
1174,Ain Shams,19,,2022,75,1,1,0,0,0,0,0,0,0,1300961
1175,5th Settlement,1,Compound_54,2025,287,3,3,1,0,1,0,0,1,0,8784555
1176,Hadayek Al Obba,18,,2027,94,3,1,0,0,0,0,0,0,0,1166305
1177,Sheikh Zayed,1,Compound_83,2022,149,3,4,0,1,0,1,0,0,0,11910404
1178,5th Settlement,3,Compound_75,2027,136,5,4,0,0,0,0,0,0,1,12335896
1179,Hadayek Al Obba,12,,2028,137,3,1,0,0,0,0,0,0,0,1029190
1180,Hadayek Al Obba,13,,2029,151,3,1,0,0,0,0,0,0,0,866418
1181,Ain Shams,11,,2027,109,3,1,0,0,0,0,0,0,0,1031378
1182,Hadayek Al Ahram,6,,2024,241,3,2,0,0,0,0,0,0,0,4250909
1183,New Capitol,3,Compound_83,2029,373,5,3,0,0,0,0,0,0,1,9962255
1184,New Capitol,1,Compound_6,2025,391,5,3,1,0,0,1,0,0,0,7404860
1185,5th Settlement,4,Compound_33,2028,141,4,2,0,0,1,0,0,0,0,8074916
1186,Hadayek Al Ahram,8,,2024,230,3,2,0,0,0,0,0,0,0,2791414
1187,Sheikh Zayed,1,Compound_17,2027,393,5,2,0,1,0,1,0,0,0,12790607
1188,Hadayek Al Obba,12,,2024,183,2,1,0,0,0,0,0,0,0,1511994
1189,Nasr City,8,,2023,82,3,2,0,0,0,0,0,0,0,3170360
1190,Nasr City,6,,2025,117,4,1,0,0,0,0,0,0,0,2089296
1191,Ain Shams,14,,2024,175,3,1,0,0,0,0,0,0,0,1163769
1192,New Capitol,5,Compound_93,2029,377,4,2,1,0,1,0,0,0,0,9468106
1193,Zahraa Al Maadi,10,,2026,221,4,2,0,0,0,0,0,0,0,2257570
1194,Nasr City,9,,2022,82,4,2,0,0,0,0,0,0,0,3879838
1195,Ain Shams,13,,2022,145,3,1,0,0,0,0,0,0,0,1524189
1196,Hadayek Al Obba,18,,2024,165,2,1,0,0,0,0,0,0,0,1255229
1197,New Capitol,4,Compound_57,2028,346,4,4,0,0,1,0,0,0,0,7539600
1198,New Capitol,5,Compound_77,2026,275,3,2,1,1,0,1,0,0,1,10003937
1199,Hadayek Al Ahram,6,,2024,114,3,2,0,0,0,0,0,0,0,2541351
1200,Hadayek Al Obba,14,,2026,174,3,1,0,0,0,0,0,0,0,1292427
1201,Sheikh Zayed,5,Compound_71,2025,122,4,2,0,0,0,0,0,0,1,10359880
1202,5th Settlement,4,Compound_19,2029,141,6,4,0,0,0,0,1,0,1,9217371
1203,Ain Shams,18,,2026,200,1,1,0,0,0,0,0,0,0,1021227
1204,Hadayek Al Ahram,9,,2022,204,3,1,0,0,0,0,0,0,0,2455844
1205,Sheikh Zayed,3,Compound_13,2025,399,5,2,0,0,0,0,0,0,1,9646338
1206,New Capitol,2,Compound_57,2029,151,3,4,0,0,1,0,1,1,0,5928147
1207,Zahraa Al Maadi,9,,2025,173,4,1,0,0,0,0,0,0,0,2407095
1208,Nasr City,9,,2024,246,3,2,0,0,0,0,0,0,0,2861326
1209,Ain Shams,11,,2024,59,3,1,0,0,0,0,0,0,0,1278471
1210,New Capitol,4,Compound_61,2025,336,6,4,1,0,1,1,0,0,1,9865042
1211,Nasr City,9,,2028,208,2,1,0,0,0,0,0,0,0,1532174
1212,5th Settlement,2,Compound_25,2022,333,6,2,0,0,0,0,0,1,0,8487636
1213,Hadayek Al Obba,19,,2025,124,2,1,0,0,0,0,0,0,0,1053818
1214,Zahraa Al Maadi,7,,2026,245,4,2,0,0,0,0,0,0,0,1602434
1215,Sheikh Zayed,5,Compound_4,2024,190,5,4,0,1,1,0,0,0,1,7848897
1216,Zahraa Al Maadi,7,,2026,288,3,2,0,0,0,0,0,0,0,1977973
1217,5th Settlement,1,Compound_72,2025,366,4,3,0,0,0,0,0,0,0,8591665
1218,Hadayek Al Obba,20,,2022,94,2,1,0,0,0,0,0,0,0,1087535
1219,New Capitol,1,Compound_12,2028,158,3,4,0,1,0,1,0,0,1,5748823
1220,Hadayek Al Obba,20,,2028,136,3,1,0,0,0,0,0,0,0,954074
1221,Nasr City,8,,2028,108,4,1,0,0,0,0,0,0,0,3218400
1222,Zahraa Al Maadi,8,,2022,141,4,1,0,0,0,0,0,0,0,4036528
1223,Nasr City,9,,2024,103,2,1,0,0,0,0,0,0,0,1720889
1224,5th Settlement,4,Compound_25,2023,346,4,4,1,0,0,0,0,0,1,9506252
1225,5th Settlement,2,Compound_10,2025,216,6,3,1,0,0,0,1,1,0,6328863
1226,Hadayek Al Ahram,10,,2028,217,4,1,0,0,0,0,0,0,0,3115651
1227,Zahraa Al Maadi,7,,2025,114,4,2,0,0,0,0,0,0,0,1587098
1228,Hadayek Al Ahram,9,,2027,254,3,1,0,0,0,0,0,0,0,1271908
1229,Zahraa Al Maadi,8,,2026,187,4,1,0,0,0,0,0,0,0,1640115
1230,Nasr City,8,,2027,239,2,1,0,0,0,0,0,0,0,2983225
1231,New Capitol,3,Compound_50,2027,383,3,2,0,0,0,0,1,1,0,8567121
1232,New Capitol,3,Compound_31,2025,231,6,3,1,0,0,0,0,1,0,7223483
1233,Ain Shams,14,,2025,150,2,1,0,0,0,0,0,0,0,1080091
1234,Nasr City,8,,2022,167,3,1,0,0,0,0,0,0,0,2690110
1235,Zahraa Al Maadi,6,,2027,201,4,2,0,0,0,0,0,0,0,1771750
1236,Hadayek Al Ahram,10,,2028,156,2,2,0,0,0,0,0,0,0,1405540
1237,5th Settlement,4,Compound_87,2023,352,4,3,1,0,0,0,0,0,0,12502718
1238,Hadayek Al Obba,17,,2025,138,1,1,0,0,0,0,0,0,0,1023451
1239,Nasr City,7,,2024,267,2,2,0,0,0,0,0,0,0,2981026
1240,5th Settlement,4,Compound_12,2027,338,5,2,0,0,0,0,0,0,1,12156044
1241,Sheikh Zayed,1,Compound_68,2029,299,6,2,0,1,1,1,0,1,0,5880852
1242,Ain Shams,17,,2024,190,3,1,0,0,0,0,0,0,0,1211104
1243,Sheikh Zayed,3,Compound_32,2023,220,3,3,0,0,0,0,0,1,1,8470212
1244,Hadayek Al Ahram,8,,2022,157,2,2,0,0,0,0,0,0,0,3134236
1245,5th Settlement,3,Compound_31,2022,232,4,3,0,0,1,0,0,0,0,11066923
1246,Ain Shams,11,,2026,107,1,1,0,0,0,0,0,0,0,919008
1247,Hadayek Al Ahram,10,,2022,279,2,1,0,0,0,0,0,0,0,1449615
1248,Hadayek Al Obba,14,,2027,120,1,1,0,0,0,0,0,0,0,1148851
1249,Zahraa Al Maadi,10,,2022,183,3,1,0,0,0,0,0,0,0,2349831
1250,5th Settlement,3,Compound_53,2026,171,6,3,0,0,0,0,1,0,0,13890582
1251,Hadayek Al Ahram,6,,2026,102,2,2,0,0,0,0,0,0,0,2319936
1252,Ain Shams,19,,2025,86,2,1,0,0,0,0,0,0,0,1176020
1253,Ain Shams,12,,2028,166,1,1,0,0,0,0,0,0,0,860544
1254,Nasr City,7,,2029,203,4,1,0,0,0,0,0,0,0,1978421
1255,5th Settlement,4,Compound_53,2026,337,3,4,0,0,0,0,0,0,1,6525290
1256,Hadayek Al Ahram,9,,2023,144,3,1,0,0,0,0,0,0,0,3862537
1257,Hadayek Al Ahram,9,,2023,288,4,2,0,0,0,0,0,0,0,4193295
1258,Ain Shams,19,,2029,184,2,1,0,0,0,0,0,0,0,1036145
1259,Hadayek Al Obba,11,,2025,159,3,1,0,0,0,0,0,0,0,1157561
1260,5th Settlement,2,Compound_7,2025,126,4,4,0,0,1,1,0,0,0,7658045
1261,New Capitol,2,Compound_44,2028,323,3,2,0,0,0,1,1,1,1,11085019
1262,5th Settlement,4,Compound_59,2025,181,5,2,0,0,0,0,0,0,0,6576358
1263,Hadayek Al Obba,19,,2026,64,3,1,0,0,0,0,0,0,0,1069803
1264,Sheikh Zayed,4,Compound_6,2023,156,5,2,1,0,0,0,0,0,0,9747724
1265,Ain Shams,14,,2029,108,3,1,0,0,0,0,0,0,0,924452
1266,Sheikh Zayed,2,Compound_69,2022,233,5,3,0,0,0,0,0,0,0,13353226
1267,Hadayek Al Obba,18,,2023,88,3,1,0,0,0,0,0,0,0,1425539
1268,New Capitol,1,Compound_88,2025,184,3,4,0,0,1,0,0,0,0,7104202
1269,Hadayek Al Obba,12,,2028,98,2,1,0,0,0,0,0,0,0,1096520
1270,Sheikh Zayed,1,Compound_44,2024,323,6,4,0,0,0,0,1,0,0,15308985
1271,5th Settlement,4,Compound_59,2026,197,6,2,0,0,0,1,0,0,0,5515287
1272,Zahraa Al Maadi,7,,2029,144,3,2,0,0,0,0,0,0,0,3159989
1273,Ain Shams,17,,2023,154,2,1,0,0,0,0,0,0,0,1454471
1274,Zahraa Al Maadi,6,,2025,110,3,1,0,0,0,0,0,0,0,2371177
1275,Hadayek Al Obba,16,,2025,140,1,1,0,0,0,0,0,0,0,1099959
1276,Nasr City,10,,2023,178,2,2,0,0,0,0,0,0,0,1532798
1277,Nasr City,8,,2025,222,2,2,0,0,0,0,0,0,0,1422073
1278,Nasr City,10,,2026,126,4,1,0,0,0,0,0,0,0,1879275
1279,Hadayek Al Obba,14,,2027,67,1,1,0,0,0,0,0,0,0,1069604
1280,Hadayek Al Obba,13,,2027,186,2,1,0,0,0,0,0,0,0,1070607
1281,Hadayek Al Ahram,8,,2023,259,3,1,0,0,0,0,0,0,0,2869098
1282,Sheikh Zayed,3,Compound_39,2029,317,3,3,0,0,0,1,0,1,1,7712758
1283,Hadayek Al Obba,18,,2027,62,3,1,0,0,0,0,0,0,0,1001875
1284,Zahraa Al Maadi,8,,2024,190,3,1,0,0,0,0,0,0,0,4362304
1285,New Capitol,2,Compound_90,2029,150,4,4,0,1,1,1,0,1,0,7558022
1286,Zahraa Al Maadi,9,,2025,253,4,2,0,0,0,0,0,0,0,1492950
1287,New Capitol,2,Compound_60,2025,239,4,2,0,1,0,0,1,0,0,9591835
1288,Hadayek Al Ahram,9,,2023,151,4,2,0,0,0,0,0,0,0,3872047
1289,Sheikh Zayed,1,Compound_10,2026,131,5,2,0,0,0,1,1,0,0,9944601
1290,Hadayek Al Ahram,6,,2026,218,2,2,0,0,0,0,0,0,0,1365838
